id,van_ban,tu_vung,giai_nghia_chuan,nghia_tinh_gon,hinh_anh,am_thanh,video,minh_hoa_khac,tu_lien_quan,cau_minh_hoa,ghi_chu
115,"Bài 20:
Từ chú bồ câu đến In-tơ-nét",trao đổi,bàn bạc ý kiến với nhau để đi đến thống nhất,nói chuyện qua lại giữa nhiều người,trao đổi.png,,,,"Cụm từ: trao đổi ý kiến, trao đổi thông tin

Từ đồng nghĩa: thảo luận, bàn bạc

Từ gần nghĩa: trò chuyện, nói chuyện

Từ trái nghĩa: giữ kín, không nói ra

Cụm từ thường dùng: trao đổi với nhau","Các bạn trao đổi ý kiến về bài học.

Cô giáo trao đổi với phụ huynh về việc học của học sinh.

Chúng em thường trao đổi bài với nhau.",
116,"Bài 20:
Từ chú bồ câu đến In-tơ-nét",huấn luyện,giảng dạy và hướng dẫn luyện tập,"dạy để tốt hơn, giỏi hơn",huấn luyện.png,,,,"Cụm từ: huấn luyện thể thao, huấn luyện quân sự

Từ đồng nghĩa: đào tạo, rèn luyện

Từ gần nghĩa: hướng dẫn, dạy dỗ

Từ trái nghĩa: bỏ mặc, không dạy

Cụm từ thường dùng: huấn luyện viên","Huấn luyện viên đang huấn luyện đội bóng.

Các vận động viên chăm chỉ tập luyện theo sự huấn luyện của thầy.

Chú bộ đội được huấn luyện rất nghiêm túc.",*
117,"Bài 20:
Từ chú bồ câu đến In-tơ-nét",thông tin,"là tất cả các sự việc, sự kiện, ý tưởng, phán đoán làm tăng thêm sự hiểu biết của con người.",điều được truyền đi cho người khác biết ,thông tin.png,,,,"Cụm từ: cung cấp thông tin, nhận thông tin

Từ đồng nghĩa: tin tức, dữ liệu

Từ gần nghĩa: tin báo, tin tức

Từ trái nghĩa: thiếu thông tin

Cụm từ thường dùng: chia sẻ thông tin","Cô giáo cung cấp thông tin về cuộc thi.

Chúng em tìm thông tin trên sách và báo.

Bạn Lan chia sẻ thông tin hữu ích cho lớp.",
118,"Bài 20:
Từ chú bồ câu đến In-tơ-nét",dễ dàng,"đơn giản,  không đòi hỏi nhiều điều kiện, nhiều công phu",trái nghĩa với khó,,,,,"Cụm từ: làm việc dễ dàng, giải bài dễ dàng

Từ đồng nghĩa: đơn giản, nhẹ nhàng

Từ gần nghĩa: thuận lợi, nhanh chóng

Từ trái nghĩa: khó khăn, phức tạp

Cụm từ thường dùng: hoàn thành dễ dàng","Em giải bài toán này rất dễ dàng.

Nhờ luyện tập, bạn ấy đọc tiếng Anh dễ dàng hơn.

Công việc trở nên dễ dàng khi có sự giúp đỡ.",
119,"Bài 20:
Từ chú bồ câu đến In-tơ-nét",in-tơ-nét,"hệ thống gồm các mạng máy tính được nối với nhau trên phạm vi toàn thế giới, tạo điều kiện cho các dịch vụ truyền thông dữ liệu, như tìm đọc thông tin từ xa, truyền các tệp tin, thư tín điện tử và các nhóm thông tin.",là một mạng máy tính lớn để nhiều máy tính trên khắp thế giới được nối với nhau.,internet.png,,,,"Cụm từ: sử dụng in-tơ-nét, truy cập in-tơ-nét

Từ đồng nghĩa: mạng internet

Từ gần nghĩa: mạng trực tuyến, mạng toàn cầu

Từ trái nghĩa: không có mạng, ngoại tuyến

Cụm từ thường dùng: tìm kiếm trên in-tơ-nét","Em dùng In tơ net để học 

Nhờ có mạng in-tơ-nét, em tìm được nhiều thông tin hữu ích.

Nhiều người dùng in-tơ-nét để học tập và làm việc.",*
120,"Bài 21:
Mai An Tiêm",Vua Hùng,là cách gọi dành cho các vị vua nước Văn Lang của người Lạc Việt - ,têm những vị vua của nước Văn Lang,vua Hùng.png,,,,"Cụm từ: các Vua Hùng, thời đại Vua Hùng

Từ gần nghĩa: vua thời cổ, vua đầu tiên của nước ta

Cụm từ thường dùng: Vua Hùng dựng nước","Hùng Vương là vị vua của nhà nước Văn Lang
Ngày 10 tháng 3 là ngày Giỗ tổ Hùng Vương 

Các Vua Hùng có công dựng nước.

Nhân dân tưởng nhớ công lao của Vua Hùng.

Ngày Giỗ Tổ là dịp tưởng nhớ các Vua Hùng.",
121,"Bài 21:
Mai An Tiêm",hiểu lầm,Hiểu không đúng sự thật; có ý kiến sai về hoạt động hoặc ý kiến của người khác.,hiểu sai ý,hiểu lầm.png,,,,"Cụm từ: gây hiểu lầm, tránh hiểu lầm

Từ đồng nghĩa: hiểu sai, lầm tưởng

Từ gần nghĩa: nhầm lẫn

Từ trái nghĩa: hiểu đúng, thông cảm

Cụm từ thường dùng: giải thích để khỏi hiểu lầm","Anh ấy buồn vì bị hiểu lầm 

Em xin lỗi vì đã hiểu lầm bạn.

Hai bạn nói chuyện để giải thích sự hiểu lầm.

Một lời nói thiếu rõ ràng dễ gây hiểu lầm.",
122,"Bài 21:
Mai An Tiêm",đảo hoang,"Hòn đảo không có người ở, ít hoặc không có dấu hiệu sinh sống của con người.",đảo không có người ,đảo hoang.png,,,,"Cụm từ: hòn đảo hoang, sống trên đảo hoang

Từ gần nghĩa: đảo vắng, đảo không người

Từ trái nghĩa: đảo đông người, đảo du lịch

Cụm từ thường dùng: hòn đảo hoang vắng","Con thuyền trôi dạt vào một đảo hoang.

Trên đảo hoang không có nhà cửa.

Họ phải tìm cách sinh sống trên đảo hoang.",*
123,"Bài 21:
Mai An Tiêm",nảy mầm,"mầm, chồi bắt đầu nhú ra, mọc ra",mầm cây bắt đầu mọc lên,nảy mầm.png,, nảy mầm.mp4,,"Cụm từ: hạt nảy mầm, cây nảy mầm

Từ đồng nghĩa: mọc mầm

Từ gần nghĩa: bắt đầu mọc

Từ trái nghĩa: héo úa, khô héo

Cụm từ thường dùng: hạt giống nảy mầm","Mầm cây mẹ trồng bắt đầu nảy mầm

Hạt đậu đã nảy mầm sau vài ngày.

Cây non bắt đầu nảy mầm sau cơn mưa.

Những hạt giống nhỏ bé đang nảy mầm.",
124,"Bài 21:
Mai An Tiêm",lan rộng,"chỉ quá trình phát tán, mở rộng không gian, tầm ảnh hưởng hoặc phạm vi của một sự vật, hiện tượng từ một điểm xuất phát ban đầu ra các khu vực xung quanh theo mọi hướng.","là từ chỉ quá trình từ một cái nhỏ trở nên to lớn hơn, rộng hơn",,, lan rộng.mp4,,"Cụm từ: lan rộng khắp nơi

Từ đồng nghĩa: lan ra, mở rộng

Từ gần nghĩa: phát tán

Từ trái nghĩa: thu hẹp, giảm bớt

Cụm từ thường dùng: lan rộng nhanh chóng","Tin vui lan rộng khắp làng.

Mùi hương hoa lan rộng trong vườn.

Niềm vui lan rộng khắp lớp học.",
125,"Bài 21:
Mai An Tiêm",hối hận,"Cảm thấy ân hận, day dứt vì nhận ra lỗi lầm của mình.",buồn vì lỗi sai của mình,hối hận.png,,,,"Cụm từ: cảm thấy hối hận

Từ đồng nghĩa: ân hận, hối tiếc

Từ gần nghĩa: day dứt

Từ trái nghĩa: hài lòng, tự mãn

Cụm từ thường dùng: vô cùng hối hận","Nam hối hận vì không nghe lời mẹ

Cậu bé rất hối hận vì nói dối.

Bạn ấy hối hận về lỗi lầm của mình.

Em biết nhận lỗi và hối hận.",*
126,"Bài 22:
Thư gửi bố ngoài đảo",xa xôi,"khoảng cách xa và cách trở về không gian, thời gian",rất xa,xa xôi.png,,,,"Cụm từ: nơi xa xôi, vùng xa xôi

Từ đồng nghĩa: xa xăm

Từ gần nghĩa: hẻo lánh

Từ trái nghĩa: gần gũi, gần

Cụm từ thường dùng: vùng đất xa xôi","Ngôi làng nằm ở nơi xa xôi.

Bạn ấy đến từ một vùng đất xa xôi.

Đường đến đó rất xa xôi.",
127,"Bài 22:
Thư gửi bố ngoài đảo",bằng lòng,"Có thái độ đồng ý, chấp nhận điều gì đó.",đồng ý ,bằng lòng.jpg,,,,"Cụm từ: vui lòng bằng lòng

Từ đồng nghĩa: đồng ý

Từ gần nghĩa: chấp nhận

Từ trái nghĩa: từ chối, phản đối

Cụm từ thường dùng: bằng lòng giúp đỡ","Mẹ bằng lòng cho em đi chơi.

Cô giáo bằng lòng với câu trả lời của em.

Bạn ấy vui vẻ bằng lòng giúp đỡ.",
128,"Bài 22:
Thư gửi bố ngoài đảo",đảo,"Đảo là phần đất tự nhiên được bao quanh hoàn toàn bởi nước (biển, đại dương, hồ, sông), nổi trên mặt nước. ",vùng đất ở giữa biển,đảo.png,,,,"Cụm từ: hòn đảo, đảo xa

Từ gần nghĩa: cù lao

Từ trái nghĩa: đất liền

Cụm từ thường dùng: đảo ngoài khơi","Việt Nam có nhiều hòn đảo đẹp.

Ngư dân sống trên đảo.

Con tàu tiến gần một hòn đảo.",
129,"Bài 22:
Thư gửi bố ngoài đảo",hòm thư,"Dụng cụ hoặc nơi dùng để nhận và chứa thư từ, bưu phẩm.",hộp đựng thư bên trong,hòm thư.png,,,,,,*
130,"Bài 23:
Bóp nát quả Cam",giặc Nguyên,"- Giặc: Kẻ tổ chức thành lực lượng vũ trang, chuyên đi cướp phá, làm rối loạn an ninh, gây tai hoạ cho cả một vùng hoặc một nước. 
- Giặc Nguyên: Quân giặc nước Nguyên (Mông Cổ) nằm ở phía Đông Bắc Châu Á, nằm giữa phía Bắc nước Nga và phía Nam Trung Quốc",nước Nguyên đến cướp phá nước khác ,giặc nguyên.png,,,,"Cụm từ: giặc Nguyên xâm lược

Từ gần nghĩa: quân xâm lược

Từ trái nghĩa: quân ta, quân bảo vệ đất nước

Cụm từ thường dùng: đánh giặc Nguyên","Quân dân ta chiến đấu chống giặc Nguyên.

Giặc Nguyên nhiều lần xâm lược nước ta.

Các tướng sĩ quyết tâm đánh bại giặc Nguyên.",*
131,"Bài 23:
Bóp nát quả Cam",sứ thần,Người thay mặt cho vua một nước đi giao thiệp với nước ngoài.,Người thay vua đi gặp nước khác,sứ giả.png,,,,"Cụm từ: sứ thần sang nước bạn

Từ đồng nghĩa: sứ giả

Từ gần nghĩa: người đi ngoại giao

Từ trái nghĩa: kẻ xâm lược

Cụm từ thường dùng: tiếp đón sứ thần","Sứ thần được cử sang nước láng giềng.

Nhà vua tiếp đón sứ thần rất trọng thị.

Sứ thần mang theo thư của vua.",
132,"Bài 23:
Bóp nát quả Cam",giả vờ,Làm ra vẻ như thật để che giấu sự thật hoặc đánh lừa người khác.,làm sai sự thật,,,,,"Cụm từ: giả vờ ngủ, giả vờ không biết

Từ đồng nghĩa: làm bộ, vờ

Từ gần nghĩa: đóng giả

Từ trái nghĩa: thật thà, thành thật

Cụm từ thường dùng: giả vờ không nghe","Cậu bé giả vờ ngủ để trốn học.

Bạn ấy giả vờ không biết chuyện.

Em không nên giả vờ khi mắc lỗi.",
133,"Bài 23:
Bóp nát quả Cam",xâm chiếm,"Hành động chiếm đoạt hoặc lấn chiếm lãnh thổ, tài sản hay quyền lợi của người khác một cách không được phép.","Lấn chiếm, chiếm lấy của người khác.
",xâm chiếm.png,,,,"Cụm từ: xâm chiếm đất nước

Từ đồng nghĩa: xâm lược

Từ gần nghĩa: chiếm đóng

Từ trái nghĩa: bảo vệ, giữ gìn

Cụm từ thường dùng: âm mưu xâm chiếm","
Nhân dân ta đứng lên chống lại sự xâm chiếm.

Quân ta bảo vệ đất nước trước kẻ xâm chiếm.",
134,"Bài 23:
Bóp nát quả Cam",ngang ngược,"Có thái độ bướng bỉnh, coi thường lẽ phải, làm theo ý mình bất chấp đúng sai.",Làm theo ý mình không cần biết đúng sai,,,,,"Cụm từ: thái độ ngang ngược

Từ đồng nghĩa: hỗn láo, vô lễ

Từ gần nghĩa: cứng đầu

Từ trái nghĩa: lễ phép, ngoan ngoãn

Cụm từ thường dùng: hành động ngang ngược","ên giặc có thái độ rất ngang ngược.

Cậu bé bị nhắc nhở vì cư xử ngang ngược.

Hành động ngang ngược khiến mọi người bức xúc.",
135,"Bài 23:
Bóp nát quả Cam",Trần Quốc Toản,là một vị anh hùng thiếu niên nổi tiếng thời nhà Trần trong lịch sử Việt Nam,thiếu niên anh hùng thời Trần,Trần Quốc Toản.png,,,,"Từ gần nghĩa: vị anh hùng trẻ tuổi

Cụm từ thường dùng: tấm gương Trần Quốc Toản","Trần Quốc Toản là một anh hùng nhỏ tuổi.

Câu chuyện Trần Quốc Toản rất nổi tiếng.

Chúng em học tập tinh thần yêu nước của Trần Quốc Toản.",*
136,"Bài 23:
Bóp nát quả Cam",phép nước,"Những quy định, luật lệ của nhà nước buộc mọi người phải tuân theo.",luật lệ của nhà nước,phép nước.png,,,,"Từ đồng nghĩa: pháp luật

Từ gần nghĩa: luật lệ

Từ trái nghĩa: vô pháp, không có luật lệ

Cụm từ thường dùng: nghiêm theo phép nước","Mọi người phải tuân theo phép nước.

Nhà vua giữ nghiêm phép nước.

Ai vi phạm sẽ bị xử theo phép nước.",
137,"Bài 23:
Bóp nát quả Cam",ấm ức,"Trạng thái bực bội, tức giận nhưng bị dồn nén trong lòng, chưa nói ra.","tức mà không nói ra
",,,,,"Cụm từ: cảm thấy ấm ức

Từ đồng nghĩa: uất ức

Từ gần nghĩa: bực bội

Từ trái nghĩa: vui vẻ, thoải mái

Cụm từ thường dùng: trong lòng ấm ức","Cậu bé cảm thấy rất ấm ức.

Bạn ấy ấm ức vì bị hiểu lầm.

Em nên nói ra để không còn ấm ức.",
138,"Bài 24:
Chiếc rễ đa tròn",thường lệ,Việc vẫn xảy ra hoặc được làm lặp đi lặp lại theo thói quen từ trước.,lặp lại theo thói quen,thường lệ.jpg,,,,"Cụm từ: theo thường lệ

Từ đồng nghĩa: như mọi khi

Từ gần nghĩa: bình thường

Từ trái nghĩa: bất thường

Cụm từ thường dùng: như thường lệ","Theo thường lệ, chúng em chào cờ vào sáng thứ hai.

Cô giáo đến lớp như thường lệ.

Mọi việc diễn ra như thường lệ.",
139,"Bài 24:
Chiếc rễ đa tròn",ngoằn ngoèo,từ gợi tả dáng vẻ cong queo uốn lượn theo nhiều hướng khác nhau,đường cong nhiều hướng khác nhau,ngoằn ngoèo.png,, ngoằn ngoèo.mp4,,"Từ đồng nghĩa: quanh co

Từ gần nghĩa: uốn khúc

Từ trái nghĩa: thẳng tắp

Cụm từ thường dùng: đường đi ngoằn ngoèo","Con đường lên núi rất ngoằn ngoèo.

Dòng suối chảy ngoằn ngoèo.

Đường đi ngoằn ngoèo khó đi.",*
140,"Bài 24:
Chiếc rễ đa tròn",tần ngần,"Ở trạng thái do dự, chần chừ, chưa quyết định ngay vì còn suy nghĩ hoặc băn khoăn.","do dự, chần chừ",,,,,"Cụm từ: đứng tần ngần

Từ đồng nghĩa: do dự

Từ gần nghĩa: chần chừ

Từ trái nghĩa: quyết đoán

Cụm từ thường dùng: tần ngần một lúc","Cậu bé tần ngần trước cửa.

Bạn ấy tần ngần chưa dám nói.

Em tần ngần suy nghĩ một lúc.",*
141,"Bài 24:
Chiếc rễ đa tròn",chú cần vụ,"Người lính làm nhiệm vụ phục vụ, giúp đỡ sinh hoạt cho cán bộ trong quân đội.",người lính phục vụ sinh hoạt cho cán bộ,chú cần vụ.png,,,,"Cụm từ: chú cần vụ trong đơn vị

Từ gần nghĩa: người phục vụ

Từ trái nghĩa: người chỉ huy

Cụm từ thường dùng: chú cần vụ tận tụy","Chú cần vụ giúp đỡ mọi người trong đơn vị.

Chú cần vụ rất chăm chỉ.

Mọi người quý mến chú cần vụ.",*
142,"Bài 24:
Chiếc rễ đa tròn",ân cần,"Có thái độ quan tâm, chăm sóc, đối xử nhẹ nhàng và chu đáo.",Chăm sóc một cách nhẹ nhàng,,, ân cần.mp4,,"Cụm từ: lời nói ân cần

Từ đồng nghĩa: dịu dàng, chu đáo

Từ gần nghĩa: thân thiện

Từ trái nghĩa: lạnh nhạt

Cụm từ thường dùng: ân cần hỏi han","Cô giáo ân cần hỏi thăm học sinh.

Bà ân cần chăm sóc cháu.

Mọi người ân cần giúp đỡ nhau.",
143,"Bài 24:
Chiếc rễ đa tròn",thắc mắc,Có điều chưa hiểu rõ nên muốn được giải thích,có câu hỏi cần được trả lời,thắc mắc.png,,,,"Cụm từ: nêu thắc mắc

Từ đồng nghĩa: băn khoăn

Từ gần nghĩa: nghi vấn

Từ trái nghĩa: hiểu rõ

Cụm từ thường dùng: giải đáp thắc mắc","Em mạnh dạn nêu thắc mắc với cô giáo.

Cô giáo giải đáp thắc mắc cho học sinh.

Bạn Lan có nhiều thắc mắc về bài học.",
144,"Bài 24:
Chiếc rễ đa tròn",thiếu nhi,Trẻ em ở độ tuổi nhỏ.,trẻ em,thiếu nhi.png,,,,"Cụm từ: thiếu nhi Việt Nam

Từ đồng nghĩa: trẻ em

Từ gần nghĩa: trẻ nhỏ

Từ trái nghĩa: người lớn

Cụm từ thường dùng: thiếu nhi chăm ngoan","Tết Trung Thu là tết của Thiếu nhi

Thiếu nhi cần chăm chỉ học tập.

Các bạn thiếu nhi vui chơi trong công viên.

Thiếu nhi Việt Nam rất chăm ngoan.",
145,"Bài 25:
Đất nước chúng mình",thủ đô,Thủ đô là trung tâm hành chính của một quốc gia,Thủ đô là trung tâm hành chính của một quốc gia,thủ đô.jpg,,,,"Cụm từ: Thủ đô văn hiến
Từ đồng nghĩa: Kinh đô, kinh thành 
Từ gần nghĩa: kinh đô
Từ trái nghĩa: làng, xóm, thôn quê
Cụm từ thường dùng: Thủ đô Hà Nội",- Hà Nội là thủ đô của Việt Nam                                                                  - Thủ đô Hà Nội có nhiều di tích lịch sử nổi tiếng.,
146,"Bài 25:
Đất nước chúng mình",anh hùng,"- nhân vật thần thoại có sức mạnh và dũng khí phi thường, lập nên những kì tích đặc biệt (thường có trong truyện thần thoại Hi Lạp).
- người có tài năng và dũng khí hơn hẳn người thường, làm nên những việc được người đời ca tụng
","Anh hùng là người có sức mạnh, can đảm đối mặt với nguy hiểm",anh hùng.jpg,,,,"Cụm từ: anh hùng dân tộc
Từ đồng nghĩa: hào kiệt, dũng sĩ 
Từ gần nghĩa: dũng sĩ
Từ trái nghĩa: hèn nhát 
Cụm từ thường dùng: Anh hùng dân tộc",-Anh hùng dân tộc luôn được nhân dân kính trọng.                                                           - Anh hùng luôn hy sinh vì lẽ phải,
147,"Bài 25:
Đất nước chúng mình",rạng danh,"Là làm cho danh tiếng trở nên vẻ vang, được nhiều người biết đến và kính trọng.","Là làm cho danh tiếng trở nên vẻ vang, được nhiều người biết đến và kính trọng.",https://drive.google.com/file/d/18yEJk-yV-snxwLabnLUujz_6CV7e4ba9/view?usp=drivesdk,,,,"Cụm từ: rạng danh quê hương

Từ đồng nghĩa: rạng danh 

Từ gần nghĩa: nhộn nhịp

Từ trái nghĩa: bôi nhọ

Cụm từ thường dùng: Làm rạng danh quê hương, đất nước ",- Em sẽ cố gắng học hành để làm rạng danh quê hương đất nước.                                                                                          ,
148,"Bài 25:
Đất nước chúng mình",lịch sử,"Lịch sử là quá trình phát sinh, phát triển đã qua hay cho đến tiêu vong của một hiện tượng, một sự vật nào đó diễn ra theo thứ tự thời gian
","quá trình hình thành, phát triển và biến đổi của sự vật, hiện tượng theo thời gian",https://drive.google.com/file/d/1wrod2SNQoHSbfqDhh6k96ie-TnwbQD81/view?usp=sharing,,,,"Cụm từ: lịch sử
Từ đồng nghĩa: quá khứ, sử sách, sử liệu
Từ gần nghĩa: quá khứ
Từ trái nghĩa: hiện tại, tương lai
Cụm từ thường dùng: lịch sử dân tộc",- Lịch sử ghi lại quá khứ của dân tộc.                                                                                                                                    - Em yêu môn học Lịch sử,
149,"Bài 25:
Đất nước chúng mình",khí hậu,"tình hình chung về quy luật diễn biến của thời tiết ở một vùng, một miền","diễn biến của thời tiết ở một vùng, một miền",https://drive.google.com/file/d/1rKkWLNH9jYkmE1LGPSN8eeTjRnJlEqF2/view?usp=drivesdk,,,,"Cụm từ: Khí hậu nhiệt đới, khí hậu nóng ẩm

Từ đồng nghĩa: Thời tiết 

Từ gần nghĩa: Thời tiết 

Từ trái nghĩa: Không

Cụm từ thường dùng: Khí hậu nhiệt đới gió mùa","- Việt Nam có khí hậu nhiệt đới.                                                                                                                                           - Khí hậu nơi đây mát mẻ, dễ chịu.",
150,"Bài 25:
Đất nước chúng mình",truyền thống,"thói quen hình thành đã lâu đời trong lối sống và nếp nghĩ, được truyền lại từ thế hệ này sang thế hệ khác","thói quen lâu đời trong lối sống và nếp nghĩ, được truyền từ thế hệ này sang thế hệ khác.",https://drive.google.com/file/d/1N8HpW6xS5AJddwjXaBfewg_rMqllehaM/view?usp=drivesdk,,,,"Cụm từ: Truyền thống tốt đẹp
Từ đồng nghĩa: phong tục
Từ gần nghĩa: phong tục 
Từ trái nghĩa: 
Cụm từ thường dùng: Truyền thống dân tộc ",- Dân tộc Việt Nam có truyền thống tốt đẹp.                                                                                                                              - Yêu nước là truyền thống tốt đẹp của dân tộc ta.                                                                                                                       - Chúng ta cần phát huy truyền thống dân tộc.,
151,"Bài 26:
Trên các miền đất nước",tươi đẹp,"Là đẹp đẽ, rạng rỡ, tràn đầy sức sống, tạo cảm giác dễ chịu và vui tươi.","Đẹp đẽ, vui tươi, tạo cảm giác dễ chịu",https://drive.google.com/file/d/1Z0kVDgawX_EjBRhzLZPKOf_sz9EK-h67/view?usp=sharing,,,,"Cụm từ: tươi đẹp
Từ đồng nghĩa: xinh đẹp, rực rỡ, tốt đẹp
Từ gần nghĩa: rực rỡ
Từ trái nghĩa: xấu xí, u ám
Cụm từ thường dùng: tương lai tươi đẹp",- Quê hương em biết bao tươi đẹp.,
152,"Bài 26:
Trên các miền đất nước",ca dao,"Thơ ca do nhân dân sáng tác, được truyền miệng.","thơ ca dân gian truyền miệng, thường theo thể lục bát, dễ nhớ, dễ thuộc",ca dao.png,, ca dao.mp4,,"Cụm từ: ca dao dân ca
Từ đồng nghĩa: lời ca dân gian, thơ ca dân gian
Từ gần nghĩa: ca dao
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: những câu ca dao dân ca",- Em rất thích nghe bà kể ca dao mỗi tối.                                               - Những câu ca dao giúp em hiểu thêm về cuộc sống và con người Việt Nam.,*
153,"Bài 26:
Trên các miền đất nước",Vua Hùng," Vua Hùng là cách gọi dành cho các vị vua nước Văn Lang của người Lạc Việt, tồn tại vào khoảng thế kỷ VII đến thế kỷ II trước Công nguyên (TCN)."," Vua Hùng là cách gọi dành cho các vị vua nước Văn Lang của người Lạc Việt, tồn tại vào khoảng thế kỷ VII đến thế kỷ II trước Công nguyên (TCN).",vua Hùng.png,,,,"Cụm từ: Vua Hùng
Từ đồng nghĩa: Hùng Vương                                                                                                                                                                                                                                Từ gần nghĩa: thời đại Hùng Vương
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: thời đại Hùng Vương",- Vua Hùng có công dựng nước Văn Lang.                                                                                                                      - Nhân dân tưởng nhớ công lao vua Hùng.,
154,"Bài 26:
Trên các miền đất nước",tranh họa đồ,"tranh vẽ cảnh vật, sông núi.","tranh vẽ cảnh vật, sông núi.",https://drive.google.com/file/d/1quf5uufHSOPFbJn5WkeIMOPKUl1BFv-L/view?usp=drive_link,,,,"Cụm từ: tranh họa đồ
Từ đồng nghĩa: tranh minh họa, tranh vẽ
Từ gần nghĩa: tranh minh họa
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: tranh họa đồ trong sách",- Cô giáo dùng tranh hoạ đồ để giảng bài.                                                                                                                                 - Tranh hoạ đồ rực rỡ và nhiều màu sắc.,*
155,"Bài 26:
Trên các miền đất nước",khám phá,"tìm ra, phát hiện ra cái còn ẩn giấu, cái bí mật.","tìm tòi, phát hiện ra cái mới",https://drive.google.com/file/d/1FBHQZTl_1zvrj88JaCQgbP0eo2nM7cwh/view?usp=drive_link,,,,"Cụm từ: khám phá
Từ đồng nghĩa: phát hiện, tìm ra, phát kiến
Từ gần nghĩa: phát hiện
Từ trái nghĩa: che giấu, bỏ qua
Cụm từ thường dùng: khám phá thế giới","- Chúng em khám phá thiên nhiên.

- Bé thích khám phá xung quanh.",
156,"Bài 26:
Trên các miền đất nước",mến thương,"có tình cảm yêu thương, gắn bó",có tình cảm yêu thương,https://drive.google.com/file/d/1TwbZ8joPedZREGGe0_mYONwfhrFVqA2y/view?usp=drive_link,,,,"Cụm từ: mến thương
Từ đồng nghĩa: yêu thương, quý mến, thương yêu
Từ gần nghĩa: yêu thương
Từ trái nghĩa: ghét bỏ, căm ghét
Cụm từ thường dùng: tình cảm mến thương",- Em mến thương bạn bè.                                                                                   - Mọi người phải luôn mến thương nhau,
157,"Bài 27:
Chuyện quả bầu",con dúi,"Loài thú nhỏ, ăn củ và rễ cây, sống trong hang đất","Loài thú nhỏ, ăn củ và rễ cây, sống trong hang đất",https://drive.google.com/file/d/1OxouBsKBuWSOCu4LzQe7YtKO2p4fi7bo/view?usp=drive_link,,,,"Cụm từ: con dúi
Từ đồng nghĩa: dúi, chuột dúi
Từ gần nghĩa: chuột rừng
Từ trái nghĩa: (không có từ trái nghĩa trực tiếp)
Cụm từ thường dùng: con dúi trong rừng ","- Con dúi đào hang sâu để trú ẩn và kiếm thức ăn.
- Em nhìn thấy con dúi chạy nhanh vào bụi tre.
- Con dúi là loài động vật sống chủ yếu ở rừng núi.",*
158,"Bài 27:
Chuyện quả bầu",thương tình,chạnh lòng thương cảm một cách sâu sắc trước tình cảnh của người nào đó,thương cảm với hoàn cảnh của người khác,https://drive.google.com/file/d/1TwbZ8joPedZREGGe0_mYONwfhrFVqA2y/view?usp=drive_link,,,,"Cụm từ: thương tình
Từ đồng nghĩa: thương xót, cảm thương, động lòng
Từ gần nghĩa: thương xót
Từ trái nghĩa: thờ ơ, lạnh lùng
Cụm từ thường dùng: xin thương tình giúp đỡ",- Mọi người thương tình giúp đỡ em nhỏ.                                                                                                                                - Mọi người thương tình tha lỗi cho em.,
159,"Bài 27:
Chuyện quả bầu",nương,"(1) đất trồng trọt trên vùng đồi, núi hoặc bãi ven sông                                                                              
(2) dựa vào để có được sự che chở, giúp đỡ","(1) đất trồng trọt trên vùng đồi, núi hoặc bãi ven sông                                                                              (2) dựa vào để có được sự che chở, giúp đỡ",https://drive.google.com/file/d/1bqGhoYQ8YogK5LWTTHYf1b4R9oUMwv4Z/view?usp=drive_link,,,,"Cụm từ: nương
Từ đồng nghĩa: dựa, nhờ, tựa, nương rẫy
Từ gần nghĩa: dựa, nương rẫy
Từ trái nghĩa: chống lại, tự lập
Cụm từ thường dùng: nương tựa lẫn nhau, làm nương rẫy",- Lúa trên nương đã chín vàng .                                                                                                                                          - Chị em nương tựa lẫn nhau.,*
160,"Bài 27:
Chuyện quả bầu",lũ lụt,"Lũ lụt là một loại thiên tai xảy ra do hiện tượng nước trong sông, suối, hồ tràn ngập một vùng đất.","hiện tượng nước sông, suối, hồ tràn ngập đất liền.",https://drive.google.com/file/d/1DtYNjzNs89J41RcOlf6CVrcXLNF2GZrN/view?usp=sharing,,,,"Cụm từ: lũ lụt
Từ đồng nghĩa: ngập lụt, lụt lội
Từ gần nghĩa: ngập nước
Từ trái nghĩa: hạn hán
Cụm từ thường dùng: thiên tai lũ lụt",- Lũ lụt gây nhiều hậu quả nặng nề.                                                                                                                          - Người dân phòng tránh lũ lụt.,
161,"Bài 27:
Chuyện quả bầu",mênh mông,Mênh mông là rộng lớn tới mức không có giới hạn,"Rộng lớn, bao la",https://drive.google.com/file/d/19lkErGQaVD1Vx2ZEnebreaCxsOh3zkNU/view?usp=sharing,,,,"Cụm từ: mênh mông
Từ đồng nghĩa: bát ngát, bao la, rộng lớn
Từ gần nghĩa: bát ngát
Từ trái nghĩa: chật hẹp, nhỏ bé
Cụm từ thường dùng: cánh đồng mênh mông",- Cánh đồng lúa mênh mông.                                                                                                                                                       - Núi rừng mênh mông hùng vĩ.,
